#(BSH_CORE_ID=3967/26A620B)  <13.03.2020 16:18:34>
#
#
# ISO Metric Threads


#
Metric,0

# Metric Screw Threads - M Profile
# Data from Machinery's Handbook (25th Edition, 1996) Table #11 - pp 1694-1695
#
# Table modified 16-Apr-2008 - D.Schmid-ext
# DIN 13-1 (1999-11) - Nennmaße für Regelgewinde
# DIN 13-2 (1999-11) - Nennmaße für Feingewinde
#
# Table modified 11-Jun-2014 - D.Schmid
# Add CODIM Metric M6x0.5, M8x0.5, M10x0.5
#
# Table modified 19-Nov-2019 - D.Schmid-ext
# Added CODIM Metric M18x1
#
# ----------------------------------------------------------------------------------------------------------
# Name		Major	Minor	Pitch	Tap Drill	Shaft	Depth
# 			Dia.	Dia.	Dia.	Dia.
# 		(internal	(external		(75% full
# 		threads)	threads)		thread)
# 		(mm)	(mm)	(mm)	(mm)	(mm)	(mm)
# ----------------------------------------------------------------------------------------------------------
M1		1.0	0.75	0.25	0.75	1.0	3.0
M1.2		1.2	0.95	0.25	0.95	1.2	4.0
M1.6		1.6	1.25	0.35	1.25	1.6	4.0
M2		2.0	1.6	0.4	1.6	2.0	6.0
M2.5		2.5	2.05	0.45	2.05	2.5	8.0
M3		3.0	2.5	0.5	2.5	3.0	9.0
M4		4.0	3.3	0.7	3.3	4.0	12.0
M5		5.0	4.2	0.8	4.2	5.0	15.0
M6		6.0	5.0	1.0	5.0	6.0	18.0
M8		8.0	6.8	1.25	6.8	8.0	22.0
M10		10.0	8.5	1.5	8.5	10.0	25.0
M12		12.0	10.2	1.75	10.2	12.0	28.0
M16		16.0	14.0	2.0	14.0	16.0	35.0
M20		20.0	17.5	2.5	17.5	20.0	40.0
M24		24.0	21.0	3.0	21.0	24.0	50.0
M30		30.0	26.5	3.5	26.5	30.0	58.0
M36		36.0	32.0	4.0	32.0	36.0	65.0
M42		42.0	37.5	4.5	37.5	42.0	70.0
M48		48.0	43.0	5.0	43.0	48.0	75.0
M56		56.0	50.5	5.5	50.5	56.0	80.0
M64		64.0	58.0	6.0	58.0	64.0	85.0
M2x0.25		2.0	1.75	0.25	1.75	2.0	6.0
M3x0.25		3.0	2.75	0.25	2.75	3.0	9.0
M3x0.35		3.0	2.65	0.35	2.65	3.0	9.0
M4x0.2		4.0	3.8	0.2	3.8	4.0	12.0
M4x0.35		4.0	3.65	0.35	3.65	4.0	12.0
M4x0.5		4.0	3.5	0.5	3.5	4.0	12.0
M5x0.25		5.0	4.75	0.25	4.75	5.0	15.0
M5x0.5		5.0	4.5	0.5	4.5	5.0	15.0
M6x0.25		6.0	5.75	0.25	5.75	6.0	18.0
M6x0.5		6.0	5.5	0.5	5.5	6.0	18.0
M6x0.75		6.0	5.2	0.75	5.2	6.0	18.0
M8x0.25		8.0	7.75	0.25	7.75	8.0	22.0
M8x0.5		8.0	7.5	0.5	7.5	8.0	22.0
M8x0.75		8.0	7.2	0.75	7.2	8.0	22.0
M8x1		8.0	7.0	1.0	7.0	8.0	22.0
M10x0.25	10.0	9.75	0.25	9.75	10.0	26.0
M10x0.5		10.0	9.5	0.5	9.5	10.0	26.0
M10x0.75	10.0	9.2	0.75	9.2	10.0	26.0
M10x1		10.0	9.0	1.0	9.0	10.0	26.0
M11x0.5		11.0	10.5	0.5		10.5	11.0	27.0
M12x0.35	12.0	11.65	0.35	11.65	12.0	28.0
M12x0.5		12.0	11.5	0.5	11.5	12.0	28.0
M12x1		12.0	11.0	1.0	11.0	12.0	28.0
M12x1.25	12.0	10.75	1.25	10.75	12.0	28.0
M12x1.5		12.0	10.5	1.5	10.5	12.0	28.0
M16x0.5		16.0	15.5	0.5	15.5	16.0	35.0
M16x1		16.0	15.0	1.0	15.0	16.0	35.0
M16x1.5		16.0	14.5	1.5	14.5	16.0	35.0
M18x1		18.0	16.0	1.0	16.0	16.0	38.0
M20x1		20.0	19.0	1.0	19.0	20.0	40.0
M20x1.5		20.0	18.5	1.5	18.5	20.0	40.0
M24x1.5		24.0	22.5	1.5	22.5	24.0	50.0
M24x2		24.0	22.0	2.0	22.0	24.0	50.0
M28x0.5		28.0	27.5	0.5	27.5	28.0	55.0
M30x1.5		30.0	28.5	1.5	28.5	30.0	58.0
M30x2		30.0	28.0	2.0	28.0	30.0	58.0
M36x1.5		36.0	34.5	1.5	34.5	36.0	65.0
M36x2		36.0	34.0	2.0	34.0	36.0	65.0
M42x1.5		37.5	40.5	1.5	40.5	42.0	70.0
M42x2		37.5	40.0	2.0	40.0	42.0	70.0
M48x1.5		48.0	46.5	1.5	46.5	48.0	75.0
M48x2		48.0	46.0	2.0	46.0	48.0	75.0
M56x1.5		56.0	54.5	1.5	54.5	56.0	80.0
M56x2		56.0	54.0	2.0	54.0	56.0	80.0
M64x2		64.0	62.0	2.0	62.0	64.0	80.0


#
Trapezoidal,0

# Trapezoidal Metric Threads
# Data from Machinery's Handbook (25th Edition, 1996) pp 1703
# ----------------------------------------------------------------------------------------------------------
#   Name		Major	Minor	Pitch	Tap Drill	Shaft	Depth
# 		Dia.	Dia.		Dia.	Dia.
#		(internal	(external
#		threads)	threads)
#		(mm)	(mm)	(mm)	(mm)	(mm)	(mm)
# ----------------------------------------------------------------------------------------------------------

